Client Name,Service,Start,Added,Lost,Active,Contract Expiration,Last Renewal Date,Added Date,Lost Date,Project Live Date,Term Length (Months),Dev Minimum Hours,Dev Rate,Avg Monthly $,Project Total,Source,Source Person/Company,Closer,Type,Contract Status
3HNails,Consulting,,X,X,,,,8/1/2025,11/3/2025,,6,,,"$8,000",,Founder Led,George,George,Retainer,Active Term
AG Jeans,Development,X,,,X,4/7/2026,10/7/2025,6/2/2022,,,6,,$150,"$19,500",,Founder Led,George,Tim,Retainer,Active Term
AG Jeans,Marketing,X,,,X,4/7/2026,10/7/2025,4/7/2025,,,6,,,"$4,500",,Founder Led,George,Tim,Retainer,Active Term
Align Tech: Invisalign,Development,X,,,X,3/25/2026,9/25/2025,11/6/2021,,,6,,$125,"$8,625",,Direct,DYODE Website,Tim,Retainer,Month-To-Month
Aloha,Development,X,,,X,5/13/2026,11/13/2025,4/11/2024,,,6,,$125,"$3,692",,Direct,DYODE Website,Elana,Retainer,Active Term
Bandai Namco,Marketing,X,,,X,3/31/2026,3/31/2025,10/31/2020,,,12,,,"$7,667",,Partner Referral,Shopify,Tim,Retainer,Active Term
Beach Bunny,Marketing,,X,,X,5/21/2026,11/21/2025,7/23/2025,,,6,,,"$6,283",,Worked at Prior Client,LRG,Lucas,Retainer,Active Term
Beach Riot,Development,X,,,X,12/10/2025,9/10/2025,6/28/2022,,,3,,$133,"$4,151",,Worked at Prior Client,L*Space,Tim,Retainer,Active Term
Beardown Brands (Bentigo),Consulting,,X,,X,,,8/21/2025,,,1,,,,"$3,750",Founder Led,George,George,Project,Active Term
Beyond Clothing,Development,X,,,X,6/30/2025,1/3/2025,11/29/2019,,,6,,$125,"$4,542",,Cold Email,Tim,Tim,Retainer,Active Term
Black Halo,Development,X,,X,,4/28/2025,,10/22/2024,4/30/2025,,,,$150,"$5,431",,Partner Referral,Geoff,Tim,Retainer,Lost
Blueme,Development,,X,,X,,,7/18/2025,,11/18/2025,4,,,,"$14,000",Ads,Google Ads,Tim,Project,Active Term
Buttercloth,Marketing,,X,X,,1/1/2026,,7/1/2025,10/30/2025,,6,,,"$7,000",,Founder Led,George,George,Retainer,Lost
Cavaco,Consulting,X,,X,,3/1/2025,,11/28/2024,1/31/2025,,,,,"$4,000",,Founder Led,George,George,Retainer,Lost
Cookware Co,Development,X,,,X,6/30/2025,1/1/2025,5/12/2021,,,6,,$125,"$10,467",,Founder Led,George,Elana,Retainer,Active Term
