Course,Amount,Team Members,Total Completed
Shopify Development Fundamentals,8,"Kevin, Alyssa, Paul, Cris, Eric, Anthony",6
Liquid Storefronts for Theme Developers,8,"Kevin, Alyssa, Paul, Cris, Eric, Anthony",3
Selling Shopify Fundamentals,5,"Elana, Biddle, Jason, Cyndi, Brandon",1
Solution Planning Fundamentals,0,Elana,0
Marketing Fundamentals,3,"Lucas, Bruce, Jessica",0
Shopify POS Launch and Operations,0,,0
Selling and Positioning Shipping Solutions on Shopify,0,,0
Selling and Positioning Shopify Marketing Products,2,2 marketing team members,0
Positioning International Selling with Shopify,0,,1
Positioning the Value of Shopify Checkout,2,2 project management team members,1
